2000,65424,1190532,417792,1534721,376533,173742,82787,15331,95.2
2005,79944,1190532,947730,1348097,187045,75895,33391,8746,160.1
2010,102803,1190532,791912,1452992,215754,90849,41212,8186,344.2
2015,126547,1190532,288215,1592933,405694,194503,98835,20726,376.5
2018,141254,1190532,829293,1421185,212111,87225,39992,11098,462.4
2019,145382,1190532,415608,1428864,412894,208437,107878,27222,598.3
2025,174575,1190532,568029,1417189,480485,168305,49389,9248,
2030,196290,1190532,580041,1386906,474912,187193,54477,9117,
2035,218005,1190532,597308,1351107,471126,203098,59939,10068,
2040,239720,1190532,597615,1378084,477036,183156,48670,8101,
2045,261435,1190532,621301,1335748,377682,179216,73660,13297,
2050,283150,1190532,620385,1309591,384959,181993,88526,15453,
